CallLTP,itmprob,CallIv,CallDelta,StrikePrice,PutDelta,PutIV,ITMProb,PutLTP
1033.95,99.9,49.43,87.54,18750,-0.98,24.06,0,1.45
928.9,99.9,21.64,99.3,18800,-1.14,23.35,0,1.65
890,99.9,30.86,94.89,18850,-1.22,22.31,0,1.7
830.95,99.9,22.92,98.06,18900,-1.36,21.42,0,1.85
820,99.8,38.43,87.85,18950,-1.58,20.65,0.1,2.1
727.65,99.7,0,0,19000,-1.87,19.93,0.2,2.45
704.35,99.5,30.39,89.93,19050,-2.07,18.91,0.4,2.6
630,99.2,17,98.2,19100,-2.38,18.01,0.7,2.9
598.05,98.7,25.06,90.57,19150,-2.78,17.14,1.2,3.3
530,97.9,14.64,97.94,19200,-3.17,16.12,2,3.6
491.55,96.7,19.62,91.65,19250,-3.87,15.32,3.2,4.3
433.65,95,14.76,94.94,19300,-4.91,14.63,4.9,5.4
386.35,92.7,14.57,92.85,19350,-6.49,14.09,7.2,7.2
337.05,89.6,13.32,91.75,19400,-8.84,13.7,10.3,10.1
290,85.7,12.7,89.13,19450,-12.04,13.36,14.3,14.3
246.9,80.8,12.75,84.32,19500,-16.3,13.08,19.1,20.35
205,75.2,12.49,78.89,19550,-21.68,12.81,24.7,28.65
168.2,68.7,12.62,71.65,19600,-28.44,12.67,31.2,40.55
133.75,61.7,12.5,63.83,19650,-36.23,12.56,38.2,56.15
103.75,54.2,12.44,55.22,19700,-44.8,12.49,45.7,76.1
78.35,46.6,12.4,46.29,19750,-53.69,12.46,53.3,100.75
57.45,39.2,12.38,37.54,19800,-62.35,12.49,60.7,130.25
41,32.1,12.39,29.42,19850,-70.36,12.53,67.8,163.9
29,25.7,12.51,22.47,19900,-77.31,12.63,74.3,201.65
20.3,20,12.7,16.8,19950,-83.22,12.69,79.9,242.25
14.05,15.1,12.91,12.31,20000,-87.39,13.07,84.8,286.65
9.7,11.1,13.15,8.92,20050,-91.26,13.05,88.8,331.4
6.95,8,13.54,6.56,20100,-95.57,12.01,91.9,375.9
5.05,5.5,13.97,4.86,20150,-94.43,14.54,94.4,428.15
3.9,3.7,14.54,3.75,20200,-96.89,13.88,96.2,475
3.3,2.4,15.31,3.1,20250,-96.47,15.8,97.5,525.95
2.85,1.5,16.1,2.61,20300,0,0,98.4,571.2
2.4,0.9,16.8,2.16,20350,0,0,99,577.1
2.2,0.5,17.68,1.91,20400,0,0,99.4,656.55
2.1,0.3,18.64,1.75,20450,0,0,99.6,682
2.05,0.1,19.65,1.63,20500,0,0,99.8,745.1
1.85,0.1,20.42,1.44,20550,-94.9,27.21,99.8,832.35
1.85,0,21.46,1.38,20600,0,0,99.9,811.75
1.8,0,22.41,1.29,20650,0,0,99.9,893.75
1.8,0,23.43,1.24,20700,0,0,99.9,965.1
